                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 18-11-2025
Time            : 18-30-39
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 1000   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 FAIL             18-11-2025    18-30-39
Erase            1                 PASS             18-11-2025    18-30-42
Write            1                 PASS             18-11-2025    18-30-43
Read             1                 PASS             18-11-2025    18-30-43
LoopBack         2                 FAIL             18-11-2025    18-30-44
Erase            2                 PASS             18-11-2025    18-30-47
Write            2                 PASS             18-11-2025    18-30-48
Read             2                 PASS             18-11-2025    18-30-48
LoopBack         3                 FAIL             18-11-2025    18-30-49
Erase            3                 PASS             18-11-2025    18-30-52
Write            3                 PASS             18-11-2025    18-30-53
Read             3                 PASS             18-11-2025    18-30-53
LoopBack         4                 FAIL             18-11-2025    18-30-54
Erase            4                 PASS             18-11-2025    18-30-57
Write            4                 PASS             18-11-2025    18-30-58
Read             4                 PASS             18-11-2025    18-30-58
LoopBack         5                 FAIL             18-11-2025    18-30-59
Erase            5                 PASS             18-11-2025    18-31-02
Write            5                 PASS             18-11-2025    18-31-03
Read             5                 PASS             18-11-2025    18-31-03
LoopBack         6                 FAIL             18-11-2025    18-31-04
Erase            6                 PASS             18-11-2025    18-31-07
Write            6                 PASS             18-11-2025    18-31-08
Read             6                 PASS             18-11-2025    18-31-08
LoopBack         7                 FAIL             18-11-2025    18-31-09
Erase            7                 PASS             18-11-2025    18-31-12
Write            7                 PASS             18-11-2025    18-31-13
Read             7                 PASS             18-11-2025    18-31-13
LoopBack         8                 FAIL             18-11-2025    18-31-14
Erase            8                 PASS             18-11-2025    18-31-17
Write            8                 PASS             18-11-2025    18-31-18
Read             8                 PASS             18-11-2025    18-31-18
LoopBack         9                 FAIL             18-11-2025    18-31-19
Erase            9                 PASS             18-11-2025    18-31-22
Write            9                 PASS             18-11-2025    18-31-23
Read             9                 PASS             18-11-2025    18-31-23
LoopBack         10                 FAIL             18-11-2025    18-31-24
Erase            10                 PASS             18-11-2025    18-31-27
Write            10                 PASS             18-11-2025    18-31-28
Read             10                 PASS             18-11-2025    18-31-28
LoopBack         11                 FAIL             18-11-2025    18-31-29
Erase            11                 PASS             18-11-2025    18-31-32
Write            11                 PASS             18-11-2025    18-31-33
Read             11                 PASS             18-11-2025    18-31-33
LoopBack         12                 FAIL             18-11-2025    18-31-34
Erase            12                 PASS             18-11-2025    18-31-37
Write            12                 PASS             18-11-2025    18-31-38
Read             12                 PASS             18-11-2025    18-31-38
LoopBack         13                 FAIL             18-11-2025    18-31-39
Erase            13                 PASS             18-11-2025    18-31-42
Write            13                 PASS             18-11-2025    18-31-43
Read             13                 PASS             18-11-2025    18-31-43
LoopBack         14                 FAIL             18-11-2025    18-31-44
Erase            14                 PASS             18-11-2025    18-31-47
Write            14                 PASS             18-11-2025    18-31-48
Read             14                 PASS             18-11-2025    18-31-48
LoopBack         15                 FAIL             18-11-2025    18-31-49
Erase            15                 PASS             18-11-2025    18-31-52
Write            15                 PASS             18-11-2025    18-31-53
Read             15                 PASS             18-11-2025    18-31-53
LoopBack         16                 FAIL             18-11-2025    18-31-54
Erase            16                 PASS             18-11-2025    18-31-57
Write            16                 PASS             18-11-2025    18-31-58
Read             16                 PASS             18-11-2025    18-31-58
LoopBack         17                 FAIL             18-11-2025    18-31-59
Erase            17                 PASS             18-11-2025    18-32-02
Write            17                 PASS             18-11-2025    18-32-03
Read             17                 PASS             18-11-2025    18-32-03
LoopBack         18                 FAIL             18-11-2025    18-32-04
Erase            18                 PASS             18-11-2025    18-32-07
Write            18                 PASS             18-11-2025    18-32-08
Read             18                 PASS             18-11-2025    18-32-08
LoopBack         19                 FAIL             18-11-2025    18-32-09
Erase            19                 PASS             18-11-2025    18-32-12
Write            19                 PASS             18-11-2025    18-32-13
