                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 21-09-2025
Time            : 19-07-45
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 0   Duration        : 70

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             21-09-2025    19:08:01
Erase            1                 PASS             21-09-2025    19:08:01
Write            1                 PASS             21-09-2025    19:08:01
Read             1                 PASS             21-09-2025    19:08:01
LoopBack         2                 PASS             21-09-2025    19:08:32
Erase            2                 PASS             21-09-2025    19:08:32
Write            2                 PASS             21-09-2025    19:08:32
Read             2                 PASS             21-09-2025    19:08:32
LoopBack         3                 PASS             21-09-2025    19:09:03
Erase            3                 PASS             21-09-2025    19:09:03
Write            3                 PASS             21-09-2025    19:09:03
Read             3                 PASS             21-09-2025    19:09:03
LoopBack         4                 PASS             21-09-2025    19:09:34
Erase            4                 PASS             21-09-2025    19:09:34
Write            4                 PASS             21-09-2025    19:09:34
Read             4                 PASS             21-09-2025    19:09:34
